"k","frac_covered","gene","filter"
21,0.824172392254841,"MTOR","All common SNPs"
22,0.824484697064335,"MTOR","All common SNPs"
23,0.824797001873829,"MTOR","All common SNPs"
24,0.825109306683323,"MTOR","All common SNPs"
25,0.825421611492817,"MTOR","All common SNPs"
26,0.825733916302311,"MTOR","All common SNPs"
27,0.826046221111805,"MTOR","All common SNPs"
28,0.826358525921299,"MTOR","All common SNPs"
29,0.826670830730793,"MTOR","All common SNPs"
30,0.826670830730793,"MTOR","All common SNPs"
1,0.503123048094941,"NLRP3","All common SNPs"
2,0.748594628357277,"NLRP3","All common SNPs"
3,0.871018113678951,"NLRP3","All common SNPs"
4,0.929106808244847,"NLRP3","All common SNPs"
5,0.959088069956277,"NLRP3","All common SNPs"
6,0.973454091193004,"NLRP3","All common SNPs"
7,0.981261711430356,"NLRP3","All common SNPs"
8,0.985633978763273,"NLRP3","All common SNPs"
9,0.988757026858214,"NLRP3","All common SNPs"
10,0.991255465334166,"NLRP3","All common SNPs"
11,0.99312929419113,"NLRP3","All common SNPs"
12,0.994066208619613,"NLRP3","All common SNPs"
13,0.994378513429107,"NLRP3","All common SNPs"
14,0.994690818238601,"NLRP3","All common SNPs"
15,0.994690818238601,"NLRP3","All common SNPs"
1,0.411305434103685,"PIK3CA","All common SNPs"
2,0.564022485946284,"PIK3CA","All common SNPs"
3,0.614615865084322,"PIK3CA","All common SNPs"
4,0.643035602748282,"PIK3CA","All common SNPs"
5,0.66208619612742,"PIK3CA","All common SNPs"
6,0.674578388507183,"PIK3CA","All common SNPs"
7,0.682386008744535,"PIK3CA","All common SNPs"
8,0.687070580886946,"PIK3CA","All common SNPs"
9,0.690818238600874,"PIK3CA","All common SNPs"
10,0.693316677076827,"PIK3CA","All common SNPs"
11,0.693941286695815,"PIK3CA","All common SNPs"
12,0.694565896314803,"PIK3CA","All common SNPs"
13,0.694878201124297,"PIK3CA","All common SNPs"
14,0.695190505933791,"PIK3CA","All common SNPs"
15,0.695502810743285,"PIK3CA","All common SNPs"
16,0.69581511555278,"PIK3CA","All common SNPs"
17,0.696127420362274,"PIK3CA","All common SNPs"
18,0.696439725171768,"PIK3CA","All common SNPs"
19,0.696752029981262,"PIK3CA","All common SNPs"
20,0.697064334790756,"PIK3CA","All common SNPs"
21,0.69737663960025,"PIK3CA","All common SNPs"
22,0.697688944409744,"PIK3CA","All common SNPs"
23,0.697688944409744,"PIK3CA","All common SNPs"
1,0.48001249219238,"RELA","All common SNPs"
2,0.61211742660837,"RELA","All common SNPs"
3,0.633354153653966,"RELA","All common SNPs"
4,0.642723297938788,"RELA","All common SNPs"
5,0.643347907557776,"RELA","All common SNPs"
6,0.643347907557776,"RELA","All common SNPs"
1,0.507183010618364,"SCN2A","All common SNPs"
2,0.741723922548407,"SCN2A","All common SNPs"
3,0.8579013116802,"SCN2A","All common SNPs"
4,0.909431605246721,"SCN2A","All common SNPs"
5,0.937851342910681,"SCN2A","All common SNPs"
6,0.950031230480949,"SCN2A","All common SNPs"
7,0.957214241099313,"SCN2A","All common SNPs"
8,0.959400374765771,"SCN2A","All common SNPs"
9,0.960961898813242,"SCN2A","All common SNPs"
10,0.962523422860712,"SCN2A","All common SNPs"
11,0.963460337289194,"SCN2A","All common SNPs"
12,0.964084946908182,"SCN2A","All common SNPs"
13,0.96470955652717,"SCN2A","All common SNPs"
14,0.965021861336665,"SCN2A","All common SNPs"
15,0.965334166146159,"SCN2A","All common SNPs"
16,0.965646470955653,"SCN2A","All common SNPs"
17,0.965958775765147,"SCN2A","All common SNPs"
18,0.966271080574641,"SCN2A","All common SNPs"
19,0.966583385384135,"SCN2A","All common SNPs"
20,0.966895690193629,"SCN2A","All common SNPs"
21,0.967207995003123,"SCN2A","All common SNPs"
22,0.967520299812617,"SCN2A","All common SNPs"
23,0.967520299812617,"SCN2A","All common SNPs"
1,0.429419113054341,"SCN8A","All common SNPs"
2,0.648344784509681,"SCN8A","All common SNPs"
3,0.765146783260462,"SCN8A","All common SNPs"
4,0.841349156777014,"SCN8A","All common SNPs"
5,0.887570268582136,"SCN8A","All common SNPs"
6,0.910680824484697,"SCN8A","All common SNPs"
7,0.921611492816989,"SCN8A","All common SNPs"
8,0.925983760149906,"SCN8A","All common SNPs"
9,0.929731417863835,"SCN8A","All common SNPs"
10,0.932542161149282,"SCN8A","All common SNPs"
11,0.93472829481574,"SCN8A","All common SNPs"
12,0.93628981886321,"SCN8A","All common SNPs"
13,0.937851342910681,"SCN8A","All common SNPs"
14,0.939100562148657,"SCN8A","All common SNPs"
15,0.940037476577139,"SCN8A","All common SNPs"
16,0.940349781386633,"SCN8A","All common SNPs"
17,0.940662086196127,"SCN8A","All common SNPs"
18,0.940974391005622,"SCN8A","All common SNPs"
19,0.941286695815116,"SCN8A","All common SNPs"
20,0.94159900062461,"SCN8A","All common SNPs"
21,0.941911305434104,"SCN8A","All common SNPs"
22,0.942223610243598,"SCN8A","All common SNPs"
23,0.942535915053092,"SCN8A","All common SNPs"
24,0.942848219862586,"SCN8A","All common SNPs"
25,0.942848219862586,"SCN8A","All common SNPs"
1,0.422860712054966,"SPTAN1","All common SNPs"
2,0.590256089943785,"SPTAN1","All common SNPs"
3,0.689256714553404,"SPTAN1","All common SNPs"
4,0.727982510930668,"SPTAN1","All common SNPs"
5,0.757651467832605,"SPTAN1","All common SNPs"
6,0.769206745783885,"SPTAN1","All common SNPs"
7,0.777014366021237,"SPTAN1","All common SNPs"
8,0.780449718925671,"SPTAN1","All common SNPs"
9,0.78263585259213,"SPTAN1","All common SNPs"
10,0.784821986258588,"SPTAN1","All common SNPs"
11,0.786383510306059,"SPTAN1","All common SNPs"
12,0.787945034353529,"SPTAN1","All common SNPs"
13,0.789194253591505,"SPTAN1","All common SNPs"
14,0.790443472829482,"SPTAN1","All common SNPs"
15,0.791380387257964,"SPTAN1","All common SNPs"
16,0.792317301686446,"SPTAN1","All common SNPs"
17,0.793254216114928,"SPTAN1","All common SNPs"
18,0.793878825733916,"SPTAN1","All common SNPs"
19,0.794503435352904,"SPTAN1","All common SNPs"
20,0.795128044971893,"SPTAN1","All common SNPs"
21,0.795440349781387,"SPTAN1","All common SNPs"
22,0.795752654590881,"SPTAN1","All common SNPs"
23,0.796064959400375,"SPTAN1","All common SNPs"
24,0.796064959400375,"SPTAN1","All common SNPs"
1,0.433479075577764,"SPTLC1","All common SNPs"
2,0.599312929419113,"SPTLC1","All common SNPs"
3,0.688632104934416,"SPTLC1","All common SNPs"
4,0.751093066833229,"SPTLC1","All common SNPs"
5,0.773579013116802,"SPTLC1","All common SNPs"
6,0.780449718925671,"SPTLC1","All common SNPs"
7,0.7841973766396,"SPTLC1","All common SNPs"
8,0.786695815115553,"SPTLC1","All common SNPs"
9,0.788881948782011,"SPTLC1","All common SNPs"
10,0.790755777638976,"SPTLC1","All common SNPs"
11,0.792317301686446,"SPTLC1","All common SNPs"
12,0.793566520924422,"SPTLC1","All common SNPs"
13,0.794503435352904,"SPTLC1","All common SNPs"
14,0.795440349781387,"SPTLC1","All common SNPs"
15,0.796064959400375,"SPTLC1","All common SNPs"
16,0.796377264209869,"SPTLC1","All common SNPs"
17,0.796689569019363,"SPTLC1","All common SNPs"
18,0.797001873828857,"SPTLC1","All common SNPs"
19,0.797314178638351,"SPTLC1","All common SNPs"
20,0.797626483447845,"SPTLC1","All common SNPs"
21,0.797938788257339,"SPTLC1","All common SNPs"
22,0.797938788257339,"SPTLC1","All common SNPs"
1,0.485321673953779,"STAT1","All common SNPs"
2,0.704247345409119,"STAT1","All common SNPs"
3,0.810430980637102,"STAT1","All common SNPs"
4,0.860399750156152,"STAT1","All common SNPs"
5,0.886008744534666,"STAT1","All common SNPs"
6,0.902248594628357,"STAT1","All common SNPs"
7,0.910680824484697,"STAT1","All common SNPs"
8,0.914428482198626,"STAT1","All common SNPs"
9,0.917239225484072,"STAT1","All common SNPs"
10,0.919737663960025,"STAT1","All common SNPs"
11,0.921923797626483,"STAT1","All common SNPs"
12,0.923485321673954,"STAT1","All common SNPs"
13,0.924422236102436,"STAT1","All common SNPs"
14,0.925359150530918,"STAT1","All common SNPs"
15,0.9262960649594,"STAT1","All common SNPs"
16,0.926608369768894,"STAT1","All common SNPs"
17,0.926920674578389,"STAT1","All common SNPs"
18,0.927232979387883,"STAT1","All common SNPs"
19,0.927545284197377,"STAT1","All common SNPs"
20,0.927857589006871,"STAT1","All common SNPs"
21,0.927857589006871,"STAT1","All common SNPs"
1,0.457838850718301,"STAT3","All common SNPs"
2,0.655527795128045,"STAT3","All common SNPs"
3,0.762336039975016,"STAT3","All common SNPs"
4,0.79262960649594,"STAT3","All common SNPs"
5,0.806058713304185,"STAT3","All common SNPs"
6,0.813554028732043,"STAT3","All common SNPs"
7,0.81948782011243,"STAT3","All common SNPs"
8,0.824797001873829,"STAT3","All common SNPs"
9,0.828856964397252,"STAT3","All common SNPs"
10,0.831667707682698,"STAT3","All common SNPs"
11,0.833229231730169,"STAT3","All common SNPs"
12,0.834166146158651,"STAT3","All common SNPs"
13,0.834790755777639,"STAT3","All common SNPs"
14,0.835415365396627,"STAT3","All common SNPs"
15,0.836039975015615,"STAT3","All common SNPs"
16,0.836664584634603,"STAT3","All common SNPs"
17,0.836976889444097,"STAT3","All common SNPs"
18,0.837289194253591,"STAT3","All common SNPs"
19,0.837601499063086,"STAT3","All common SNPs"
20,0.83791380387258,"STAT3","All common SNPs"
21,0.838226108682074,"STAT3","All common SNPs"
22,0.838538413491568,"STAT3","All common SNPs"
23,0.838538413491568,"STAT3","All common SNPs"
1,0.496252342286071,"ABCC8","Pass basic filters"
2,0.734540911930044,"ABCC8","Pass basic filters"
3,0.841661461586508,"ABCC8","Pass basic filters"
4,0.898188632104934,"ABCC8","Pass basic filters"
5,0.931292941911305,"ABCC8","Pass basic filters"
6,0.955340412242349,"ABCC8","Pass basic filters"
7,0.967207995003123,"ABCC8","Pass basic filters"
8,0.972517176764522,"ABCC8","Pass basic filters"
9,0.975327920049969,"ABCC8","Pass basic filters"
10,0.977514053716427,"ABCC8","Pass basic filters"
11,0.979075577763898,"ABCC8","Pass basic filters"
12,0.980324797001874,"ABCC8","Pass basic filters"
13,0.981261711430356,"ABCC8","Pass basic filters"
14,0.981886321049344,"ABCC8","Pass basic filters"
15,0.982510930668332,"ABCC8","Pass basic filters"
16,0.982823235477826,"ABCC8","Pass basic filters"
17,0.98313554028732,"ABCC8","Pass basic filters"
18,0.983447845096814,"ABCC8","Pass basic filters"
19,0.983760149906309,"ABCC8","Pass basic filters"
20,0.984072454715803,"ABCC8","Pass basic filters"
21,0.984072454715803,"ABCC8","Pass basic filters"
1,0.480637101811368,"AKT1","Pass basic filters"
2,0.69893816364772,"AKT1","Pass basic filters"
3,0.809181761399126,"AKT1","Pass basic filters"
4,0.861024359775141,"AKT1","Pass basic filters"
5,0.888819487820112,"AKT1","Pass basic filters"
6,0.905371642723298,"AKT1","Pass basic filters"
