"k","frac_covered","gene","superpop"
1,0.532803180914513,"CARD11","EUR"
2,0.771371769383698,"CARD11","EUR"
3,0.89662027833002,"CARD11","EUR"
4,0.950298210735587,"CARD11","EUR"
5,0.974155069582505,"CARD11","EUR"
6,0.986083499005964,"CARD11","EUR"
7,0.992047713717694,"CARD11","EUR"
8,0.99403578528827,"CARD11","EUR"
9,0.99403578528827,"CARD11","EUR"
10,0.99403578528827,"CARD11","EUR"
1,0.519427402862986,"CARD11","SAS"
2,0.773006134969325,"CARD11","SAS"
3,0.89161554192229,"CARD11","SAS"
4,0.948875255623722,"CARD11","SAS"
5,0.971370143149284,"CARD11","SAS"
6,0.98159509202454,"CARD11","SAS"
7,0.985685071574642,"CARD11","SAS"
8,0.987730061349693,"CARD11","SAS"
9,0.987730061349693,"CARD11","SAS"
10,0.987730061349693,"CARD11","SAS"
1,0.493192133131619,"COL1A1","AFR"
2,0.735249621785174,"COL1A1","AFR"
3,0.850226928895613,"COL1A1","AFR"
4,0.89409984871407,"COL1A1","AFR"
5,0.91981845688351,"COL1A1","AFR"
6,0.936459909228442,"COL1A1","AFR"
7,0.94553706505295,"COL1A1","AFR"
8,0.951588502269289,"COL1A1","AFR"
9,0.956127080181543,"COL1A1","AFR"
10,0.960665658093797,"COL1A1","AFR"
1,0.524495677233429,"COL1A1","AMR"
2,0.723342939481268,"COL1A1","AMR"
3,0.832853025936599,"COL1A1","AMR"
4,0.878962536023055,"COL1A1","AMR"
5,0.899135446685879,"COL1A1","AMR"
6,0.9164265129683,"COL1A1","AMR"
7,0.927953890489914,"COL1A1","AMR"
8,0.93371757925072,"COL1A1","AMR"
9,0.936599423631124,"COL1A1","AMR"
10,0.936599423631124,"COL1A1","AMR"
1,0.496031746031746,"COL1A1","EAS"
2,0.738095238095238,"COL1A1","EAS"
3,0.849206349206349,"COL1A1","EAS"
4,0.888888888888889,"COL1A1","EAS"
5,0.910714285714286,"COL1A1","EAS"
6,0.916666666666667,"COL1A1","EAS"
7,0.918650793650794,"COL1A1","EAS"
8,0.920634920634921,"COL1A1","EAS"
9,0.922619047619048,"COL1A1","EAS"
10,0.922619047619048,"COL1A1","EAS"
1,0.504970178926441,"COL1A1","EUR"
2,0.737574552683897,"COL1A1","EUR"
3,0.848906560636183,"COL1A1","EUR"
4,0.902584493041749,"COL1A1","EUR"
5,0.918489065606362,"COL1A1","EUR"
6,0.926441351888668,"COL1A1","EUR"
7,0.930417495029821,"COL1A1","EUR"
8,0.932405566600398,"COL1A1","EUR"
9,0.932405566600398,"COL1A1","EUR"
10,0.932405566600398,"COL1A1","EUR"
1,0.507157464212679,"COL1A1","SAS"
2,0.723926380368098,"COL1A1","SAS"
3,0.83640081799591,"COL1A1","SAS"
4,0.85480572597137,"COL1A1","SAS"
5,0.862985685071575,"COL1A1","SAS"
6,0.871165644171779,"COL1A1","SAS"
7,0.875255623721881,"COL1A1","SAS"
8,0.879345603271984,"COL1A1","SAS"
9,0.881390593047035,"COL1A1","SAS"
10,0.883435582822086,"COL1A1","SAS"
1,0.505295007564297,"COL1A2","AFR"
2,0.744326777609682,"COL1A2","AFR"
3,0.850226928895613,"COL1A2","AFR"
4,0.888048411497731,"COL1A2","AFR"
5,0.912254160363086,"COL1A2","AFR"
6,0.922844175491679,"COL1A2","AFR"
7,0.930408472012103,"COL1A2","AFR"
8,0.934947049924357,"COL1A2","AFR"
9,0.936459909228442,"COL1A2","AFR"
10,0.937972768532526,"COL1A2","AFR"
1,0.489913544668588,"COL1A2","AMR"
2,0.717579250720461,"COL1A2","AMR"
3,0.838616714697406,"COL1A2","AMR"
4,0.884726224783862,"COL1A2","AMR"
5,0.904899135446686,"COL1A2","AMR"
6,0.9164265129683,"COL1A2","AMR"
7,0.919308357348703,"COL1A2","AMR"
8,0.922190201729107,"COL1A2","AMR"
9,0.922190201729107,"COL1A2","AMR"
10,0.922190201729107,"COL1A2","AMR"
1,0.515873015873016,"COL1A2","EAS"
2,0.700396825396825,"COL1A2","EAS"
3,0.799603174603175,"COL1A2","EAS"
4,0.841269841269841,"COL1A2","EAS"
5,0.871031746031746,"COL1A2","EAS"
6,0.880952380952381,"COL1A2","EAS"
7,0.884920634920635,"COL1A2","EAS"
8,0.886904761904762,"COL1A2","EAS"
9,0.888888888888889,"COL1A2","EAS"
10,0.888888888888889,"COL1A2","EAS"
1,0.512922465208748,"COL1A2","EUR"
2,0.745526838966203,"COL1A2","EUR"
3,0.827037773359841,"COL1A2","EUR"
4,0.876739562624254,"COL1A2","EUR"
5,0.906560636182903,"COL1A2","EUR"
6,0.922465208747515,"COL1A2","EUR"
7,0.928429423459245,"COL1A2","EUR"
8,0.930417495029821,"COL1A2","EUR"
9,0.932405566600398,"COL1A2","EUR"
10,0.934393638170974,"COL1A2","EUR"
1,0.494887525562372,"COL1A2","SAS"
2,0.734151329243354,"COL1A2","SAS"
3,0.844580777096115,"COL1A2","SAS"
4,0.887525562372188,"COL1A2","SAS"
5,0.916155419222904,"COL1A2","SAS"
6,0.924335378323108,"COL1A2","SAS"
7,0.928425357873211,"COL1A2","SAS"
8,0.930470347648262,"COL1A2","SAS"
9,0.930470347648262,"COL1A2","SAS"
10,0.930470347648262,"COL1A2","SAS"
1,0.524962178517398,"COL2A1","AFR"
2,0.763993948562784,"COL2A1","AFR"
3,0.857791225416036,"COL2A1","AFR"
4,0.907715582450832,"COL2A1","AFR"
5,0.927382753403933,"COL2A1","AFR"
6,0.942511346444781,"COL2A1","AFR"
7,0.951588502269289,"COL2A1","AFR"
8,0.957639939485628,"COL2A1","AFR"
9,0.962178517397882,"COL2A1","AFR"
10,0.965204236006051,"COL2A1","AFR"
1,0.498559077809798,"COL2A1","AMR"
2,0.717579250720461,"COL2A1","AMR"
3,0.772334293948127,"COL2A1","AMR"
4,0.806916426512968,"COL2A1","AMR"
5,0.821325648414986,"COL2A1","AMR"
6,0.832853025936599,"COL2A1","AMR"
7,0.835734870317003,"COL2A1","AMR"
8,0.838616714697406,"COL2A1","AMR"
9,0.84149855907781,"COL2A1","AMR"
10,0.844380403458213,"COL2A1","AMR"
1,0.509920634920635,"COL2A1","EAS"
