"k","frac_covered","gene","n_snps_avail"
13,0.898500936914428,"COL2A1",70
14,0.899437851342911,"COL2A1",70
15,0.900374765771393,"COL2A1",70
16,0.901311680199875,"COL2A1",70
17,0.901936289818863,"COL2A1",70
18,0.902248594628357,"COL2A1",70
19,0.902560899437851,"COL2A1",70
20,0.902873204247345,"COL2A1",70
21,0.90318550905684,"COL2A1",70
22,0.903497813866334,"COL2A1",70
23,0.903810118675828,"COL2A1",70
24,0.904122423485322,"COL2A1",70
25,0.904434728294816,"COL2A1",70
26,0.90474703310431,"COL2A1",70
27,0.90474703310431,"COL2A1",70
1,0.466583385384135,"KCNJ11",45
2,0.615865084322299,"KCNJ11",45
3,0.682386008744535,"KCNJ11",45
4,0.692067457838851,"KCNJ11",45
5,0.701124297314179,"KCNJ11",45
6,0.709868831980012,"KCNJ11",45
7,0.716427232979388,"KCNJ11",45
8,0.719237976264834,"KCNJ11",45
9,0.721111805121799,"KCNJ11",45
10,0.722361024359775,"KCNJ11",45
11,0.723610243597751,"KCNJ11",45
12,0.72423485321674,"KCNJ11",45
13,0.724859462835728,"KCNJ11",45
14,0.725171767645222,"KCNJ11",45
15,0.725484072454716,"KCNJ11",45
16,0.72579637726421,"KCNJ11",45
17,0.72579637726421,"KCNJ11",45
1,0.495003123048095,"KCNQ2",86
2,0.69050593379138,"KCNQ2",86
3,0.788881948782011,"KCNQ2",86
4,0.845409119300437,"KCNQ2",86
5,0.876014990630856,"KCNQ2",86
6,0.895065584009994,"KCNQ2",86
7,0.908494690818239,"KCNQ2",86
8,0.91630231105559,"KCNQ2",86
9,0.92317301686446,"KCNQ2",86
10,0.927857589006871,"KCNQ2",86
11,0.931917551530294,"KCNQ2",86
12,0.935352904434728,"KCNQ2",86
13,0.937851342910681,"KCNQ2",86
14,0.940349781386633,"KCNQ2",86
15,0.941911305434104,"KCNQ2",86
16,0.94316052467208,"KCNQ2",86
17,0.944409743910056,"KCNQ2",86
18,0.945346658338538,"KCNQ2",86
19,0.946283572767021,"KCNQ2",86
20,0.946908182386009,"KCNQ2",86
21,0.947532792004997,"KCNQ2",86
22,0.948157401623985,"KCNQ2",86
23,0.948469706433479,"KCNQ2",86
24,0.948782011242973,"KCNQ2",86
25,0.949094316052467,"KCNQ2",86
26,0.949406620861961,"KCNQ2",86
27,0.949718925671455,"KCNQ2",86
28,0.950031230480949,"KCNQ2",86
29,0.950343535290443,"KCNQ2",86
30,0.950655840099938,"KCNQ2",86
31,0.950968144909432,"KCNQ2",86
32,0.950968144909432,"KCNQ2",86
1,0.500936914428482,"KIF1A",136
2,0.716427232979388,"KIF1A",136
3,0.826046221111805,"KIF1A",136
4,0.892254840724547,"KIF1A",136
5,0.924422236102436,"KIF1A",136
6,0.943785134291068,"KIF1A",136
7,0.957526545908807,"KIF1A",136
8,0.965958775765147,"KIF1A",136
9,0.972204871955028,"KIF1A",136
10,0.975640224859463,"KIF1A",136
11,0.978138663335415,"KIF1A",136
12,0.98001249219238,"KIF1A",136
13,0.98157401623985,"KIF1A",136
14,0.98313554028732,"KIF1A",136
15,0.984697064334791,"KIF1A",136
16,0.985633978763273,"KIF1A",136
17,0.986258588382261,"KIF1A",136
18,0.986570893191755,"KIF1A",136
19,0.986883198001249,"KIF1A",136
20,0.987195502810743,"KIF1A",136
21,0.987507807620237,"KIF1A",136
22,0.987820112429731,"KIF1A",136
23,0.988132417239226,"KIF1A",136
24,0.98844472204872,"KIF1A",136
25,0.988757026858214,"KIF1A",136
26,0.988757026858214,"KIF1A",136
1,0.477826358525921,"KIF5B",18
2,0.605559025608994,"KIF5B",18
3,0.70893191755153,"KIF5B",18
4,0.719550281074329,"KIF5B",18
5,0.725484072454716,"KIF5B",18
6,0.730168644597127,"KIF5B",18
7,0.730793254216115,"KIF5B",18
8,0.731105559025609,"KIF5B",18
9,0.731417863835103,"KIF5B",18
10,0.731417863835103,"KIF5B",18
1,0.396939412866958,"MTOR",109
2,0.571830106183635,"MTOR",109
3,0.683322923173017,"MTOR",109
4,0.737976264834478,"MTOR",109
5,0.767957526545909,"MTOR",109
6,0.783572767020612,"MTOR",109
7,0.791692692067458,"MTOR",109
8,0.798563397876327,"MTOR",109
9,0.803247970018738,"MTOR",109
10,0.807307932542161,"MTOR",109
11,0.810430980637102,"MTOR",109
12,0.812929419113054,"MTOR",109
13,0.815115552779513,"MTOR",109
14,0.816989381636477,"MTOR",109
15,0.818238600874453,"MTOR",109
16,0.81948782011243,"MTOR",109
17,0.820737039350406,"MTOR",109
18,0.821673953778888,"MTOR",109
19,0.82261086820737,"MTOR",109
20,0.823547782635853,"MTOR",109
21,0.824172392254841,"MTOR",109
22,0.824484697064335,"MTOR",109
23,0.824797001873829,"MTOR",109
24,0.825109306683323,"MTOR",109
25,0.825421611492817,"MTOR",109
26,0.825733916302311,"MTOR",109
27,0.826046221111805,"MTOR",109
28,0.826358525921299,"MTOR",109
29,0.826670830730793,"MTOR",109
30,0.826670830730793,"MTOR",109
1,0.503123048094941,"NLRP3",193
2,0.748594628357277,"NLRP3",193
3,0.871018113678951,"NLRP3",193
4,0.929106808244847,"NLRP3",193
5,0.959088069956277,"NLRP3",193
6,0.973454091193004,"NLRP3",193
7,0.981261711430356,"NLRP3",193
8,0.985633978763273,"NLRP3",193
9,0.988757026858214,"NLRP3",193
10,0.991255465334166,"NLRP3",193
11,0.99312929419113,"NLRP3",193
12,0.994066208619613,"NLRP3",193
13,0.994378513429107,"NLRP3",193
14,0.994690818238601,"NLRP3",193
15,0.994690818238601,"NLRP3",193
1,0.411305434103685,"PIK3CA",72
2,0.564022485946284,"PIK3CA",72
3,0.614615865084322,"PIK3CA",72
4,0.643035602748282,"PIK3CA",72
5,0.66208619612742,"PIK3CA",72
6,0.674578388507183,"PIK3CA",72
7,0.682386008744535,"PIK3CA",72
8,0.687070580886946,"PIK3CA",72
9,0.690818238600874,"PIK3CA",72
10,0.693316677076827,"PIK3CA",72
11,0.693941286695815,"PIK3CA",72
12,0.694565896314803,"PIK3CA",72
13,0.694878201124297,"PIK3CA",72
14,0.695190505933791,"PIK3CA",72
15,0.695502810743285,"PIK3CA",72
16,0.69581511555278,"PIK3CA",72
17,0.696127420362274,"PIK3CA",72
18,0.696439725171768,"PIK3CA",72
19,0.696752029981262,"PIK3CA",72
20,0.697064334790756,"PIK3CA",72
21,0.69737663960025,"PIK3CA",72
22,0.697688944409744,"PIK3CA",72
23,0.697688944409744,"PIK3CA",72
1,0.48001249219238,"RELA",7
2,0.61211742660837,"RELA",7
3,0.633354153653966,"RELA",7
4,0.642723297938788,"RELA",7
5,0.643347907557776,"RELA",7
6,0.643347907557776,"RELA",7
1,0.507183010618364,"SCN2A",252
2,0.741723922548407,"SCN2A",252
3,0.8579013116802,"SCN2A",252
4,0.909431605246721,"SCN2A",252
5,0.937851342910681,"SCN2A",252
6,0.950031230480949,"SCN2A",252
7,0.957214241099313,"SCN2A",252
8,0.959400374765771,"SCN2A",252
9,0.960961898813242,"SCN2A",252
10,0.962523422860712,"SCN2A",252
11,0.963460337289194,"SCN2A",252
12,0.964084946908182,"SCN2A",252
13,0.96470955652717,"SCN2A",252
14,0.965021861336665,"SCN2A",252
15,0.965334166146159,"SCN2A",252
16,0.965646470955653,"SCN2A",252
17,0.965958775765147,"SCN2A",252
18,0.966271080574641,"SCN2A",252
19,0.966583385384135,"SCN2A",252
20,0.966895690193629,"SCN2A",252
21,0.967207995003123,"SCN2A",252
22,0.967520299812617,"SCN2A",252
23,0.967520299812617,"SCN2A",252
1,0.429419113054341,"SCN8A",130
2,0.648344784509681,"SCN8A",130
3,0.765146783260462,"SCN8A",130
4,0.841349156777014,"SCN8A",130
5,0.887570268582136,"SCN8A",130
6,0.910680824484697,"SCN8A",130
7,0.921611492816989,"SCN8A",130
8,0.925983760149906,"SCN8A",130
9,0.929731417863835,"SCN8A",130
10,0.932542161149282,"SCN8A",130
11,0.93472829481574,"SCN8A",130
12,0.93628981886321,"SCN8A",130
13,0.937851342910681,"SCN8A",130
14,0.939100562148657,"SCN8A",130
15,0.940037476577139,"SCN8A",130
16,0.940349781386633,"SCN8A",130
17,0.940662086196127,"SCN8A",130
18,0.940974391005622,"SCN8A",130
19,0.941286695815116,"SCN8A",130
20,0.94159900062461,"SCN8A",130
21,0.941911305434104,"SCN8A",130
22,0.942223610243598,"SCN8A",130
23,0.942535915053092,"SCN8A",130
24,0.942848219862586,"SCN8A",130
25,0.942848219862586,"SCN8A",130
1,0.422860712054966,"SPTAN1",64
2,0.590256089943785,"SPTAN1",64
